ID,Region,Subregion,Country,Pop2018,Pop2019,PopChangeAbs,PopChangePct,GDP
84,Africa,Eastern Africa,Burundi,10.524,10.864,0.34,3.23,3002
163,Africa,Eastern Africa,Comoros,0.832,0.851,0.019,2.23,1165
160,Africa,Eastern Africa,Djibouti,0.959,0.974,0.015,1.53,3166
133,Africa,Eastern Africa,Eritrea,3.453,3.497,0.044,1.28,1981
12,Africa,Eastern Africa,Ethiopia,109.224,112.079,2.855,2.61,92750
27,Africa,Eastern Africa,Kenya,51.393,52.574,1.181,2.3,95501
51,Africa,Eastern Africa,Madagascar,26.262,26.969,0.707,2.69,14104
62,Africa,Eastern Africa,Malawi,18.143,18.629,0.486,2.68,8099
157,Africa,Eastern Africa,Mauritius[s],1.189,1.199,0.01,0.78,14180
46,Africa,Eastern Africa,Mozambique,29.496,30.366,0.87,2.95,15296
76,Africa,Eastern Africa,Rwanda,12.302,12.627,0.325,2.64,10355
200,Africa,Eastern Africa,Seychelles,0.097,0.098,0.001,0.66,1698
73,Africa,Eastern Africa,Somalia,15.008,15.443,0.435,2.9,1626
83,Africa,Eastern Africa,South Sudan,10.976,11.062,0.086,0.79,4959
25,Africa,Eastern Africa,Tanzania[c],56.313,58.005,1.692,3.0,62941
32,Africa,Eastern Africa,Uganda,42.729,44.27,1.541,3.61,32609
65,Africa,Eastern Africa,Zambia,17.352,17.861,0.509,2.94,23085
74,Africa,Eastern Africa,Zimbabwe,14.439,14.645,0.206,1.43,21440
45,Africa,Middle Africa,Angola,30.81,31.825,1.015,3.3,85000
54,Africa,Middle Africa,Cameroon,25.216,25.876,0.66,2.62,38861
126,Africa,Middle Africa,Central African Republic,4.666,4.745,0.079,1.69,2220
72,Africa,Middle Africa,Chad,15.478,15.947,0.469,3.03,11271
118,Africa,Middle Africa,Congo,5.244,5.381,0.137,2.6,12397
16,Africa,Middle Africa,DR Congo,84.068,86.791,2.723,3.24,47319
154,Africa,Middle Africa,Equatorial Guinea,1.309,1.356,0.047,3.59,11024
146,Africa,Middle Africa,Gabon,2.119,2.173,0.054,2.52,16887
187,Africa,Middle Africa,São Tomé and Príncipe,0.211,0.215,0.004,1.91,421
34,Africa,Northern Africa,Algeria,42.228,43.053,0.825,1.95,171157
14,Africa,Northern Africa,Egypt,98.424,100.388,1.964,2.0,317359
109,Africa,Northern Africa,Libya,6.679,6.777,0.098,1.48,32600
40,Africa,Northern Africa,Morocco,36.029,36.472,0.443,1.23,119700
35,Africa,Northern Africa,Sudan,41.802,42.813,1.011,2.42,34895
78,Africa,Northern Africa,Tunisia,11.565,11.695,0.13,1.12,38797
145,Africa,Southern Africa,Botswana,2.254,2.304,0.05,2.2,18340
159,Africa,Southern Africa,Eswatini,1.136,1.148,0.012,1.04,4594
147,Africa,Southern Africa,Lesotho,2.108,2.125,0.017,0.8,2460
143,Africa,Southern Africa,Namibia,2.448,2.495,0.047,1.89,12366
24,Africa,Southern Africa,South Africa,57.793,58.558,0.765,1.33,351430
77,Africa,Western Africa,Benin,11.485,11.801,0.316,2.75,14403
59,Africa,Western Africa,Burkina Faso,19.751,20.321,0.57,2.89,15990
172,Africa,Western Africa,Cape Verde,0.544,0.55,0.006,1.13,1981
144,Africa,Western Africa,Gambia,2.28,2.348,0.068,2.97,1822
48,Africa,Western Africa,Ghana,28.207,28.834,0.627,2.22,66999
75,Africa,Western Africa,Guinea,12.414,12.771,0.357,2.88,12354
150,Africa,Western Africa,Guinea-Bissau,1.874,1.921,0.047,2.49,1322
53,Africa,Western Africa,Ivory Coast,25.069,25.717,0.648,2.58,58539
123,Africa,Western Africa,Liberia,4.819,4.937,0.118,2.46,2582
60,Africa,Western Africa,Mali,19.078,19.658,0.58,3.04,17432
127,Africa,Western Africa,Mauritania,4.403,4.526,0.123,2.78,7593
57,Africa,Western Africa,Niger,22.443,23.311,0.868,3.87,12927
7,Africa,Western Africa,Nigeria,195.875,200.964,5.089,2.6,474516
71,Africa,Western Africa,Senegal,15.854,16.296,0.442,2.79,23664
103,Africa,Western Africa,Sierra Leone,7.65,7.813,0.163,2.13,4121
102,Africa,Western Africa,Togo,7.889,8.082,0.193,2.45,7270
223,Americas,Caribbean,Anguilla (United Kingdom),0.015,0.015,0.0,0.94,379
201,Americas,Caribbean,Antigua and Barbuda,0.096,0.097,0.001,0.86,1661
198,Americas,Caribbean,Aruba (Netherlands),0.106,0.106,0.0,0.44,3293
178,Americas,Caribbean,Bahamas,0.386,0.389,0.003,1.0,13578
182,Americas,Caribbean,Barbados,0.287,0.287,0.0,0.13,5209
219,Americas,Caribbean,British Virgin Islands (United Kingdom),0.03,0.03,0.0,0.77,1296
205,Americas,Caribbean,Cayman Islands (United Kingdom),0.064,0.065,0.001,1.21,6020
81,Americas,Caribbean,Cuba,11.338,11.333,-0.005,-0.04,105354
192,Americas,Caribbean,Curaçao (Netherlands),0.163,0.163,0.0,0.41,3101
204,Americas,Caribbean,Dominica,0.072,0.072,0.0,0.26,582
85,Americas,Caribbean,Dominican Republic,10.627,10.739,0.112,1.05,88941
195,Americas,Caribbean,Grenada,0.111,0.112,0.001,0.49,1211
82,Americas,Caribbean,Haiti,11.123,11.264,0.141,1.26,8051
138,Americas,Caribbean,Jamaica,2.935,2.948,0.013,0.46,15830
229,Americas,Caribbean,Montserrat (United Kingdom),0.005,0.005,0.0,-0.08,67
139,Americas,Caribbean,Puerto Rico (United States),3.04,2.933,-0.107,-3.49,104988
211,Americas,Caribbean,Saint Kitts and Nevis,0.052,0.053,0.001,0.73,1050
189,Americas,Caribbean,Saint Lucia,0.182,0.183,0.001,0.5,2122
213,Americas,Caribbean,Sint Maarten (Netherlands),0.042,0.042,0.0,1.07,1009
153,Americas,Caribbean,Trinidad and Tobago,1.39,1.395,0.005,0.37,23208
215,Americas,Caribbean,Turks and Caicos Islands (United Kingdom),0.038,0.038,0.0,1.4,1197
177,Americas,Central America,Belize,0.383,0.39,0.007,1.9,1906
120,Americas,Central America,Costa Rica,4.999,5.048,0.049,0.96,61773
111,Americas,Central America,El Salvador,6.421,6.454,0.033,0.51,27022
66,Americas,Central America,Guatemala,17.248,17.581,0.333,1.93,76710
93,Americas,Central America,Honduras,9.588,9.746,0.158,1.65,25095
10,Americas,Central America,Mexico,126.191,127.576,1.385,1.1,1256440
110,Americas,Central America,Nicaragua,6.466,6.546,0.08,1.24,12520
128,Americas,Central America,Panama,4.177,4.246,0.069,1.67,66787
206,Americas,Northern America,Bermuda (United Kingdom),0.063,0.063,0.0,-0.4,7361
39,Americas,Northern America,Canada,37.075,37.411,0.336,0.91,1741496
208,Americas,Northern America,Greenland (Denmark),0.057,0.057,0.0,0.19,3023
228,Americas,Northern America,Saint Pierre and Miquelon (France),0.006,0.006,0.0,-0.46,825
3,Americas,Northern America,United States,327.096,329.065,1.969,0.6,21433226
